group,predicted_rank,advance_cutoff,predicted_advances,confidence_tier,gap_to_cutoff,prediction_score,support_score,conversion_score,code,title,bvid,views,likes,coins,favorites,shares,replies,danmaku,partial_blend_like,partial_blend_coin,partial_blend_favorite,adjusted_raw_like,adjusted_raw_coin,adjusted_raw_favorite,adjusted_rate_like,adjusted_rate_coin,adjusted_rate_favorite
中文组,,,,,,,,,YC1007,【YC1007】售罄永恒,BV1b8Ef6aEJ2,1434,73,40,78,25,40,1,0.5089,0.2,0.4157,0.480763,1,0.876556,0.358528,0.823344,0.716787
中文组,,,,,,,,,YC1014,【YC1014】欢迎来到斗技场,BV1b8Ef6aEdN,1172,54,29,40,14,21,2,0.5089,0.2,0.4157,0.585624,0.841085,0.332288,0.407463,0.74857,0.246786
中文组,,,,,,,,,YC1016,【YC1016】雨中的猫,BV1b8Ef6aEri,1005,53,17,54,21,20,0,0.5089,0.2,0.4157,0.5161,0.541358,0.627058,0.552525,0.357256,0.707677
中文组,,,,,,,,,YC1021,【YC1021】表达了作者写不完作业的后悔之情,BV1b8Ef6aEvh,954,40,8,20,20,37,0,0.5089,0.2,0.4157,0.849757,0.102092,0,0.500048,0.108601,0.010456
中文组,,,,,,,,,YC1022,【YC1022】马戏,BV1b8Ef6aEzm,1454,55,31,56,22,22,3,0.5089,0.2,0.4157,0.433877,0.900764,0.656017,0,0.652898,0.536939
中文组,,,,,,,,,YC1026,【YC1026】那些关于爱的词句堆砌,BV1b8Ef6aE4G,648,27,10,26,2,11,1,0.5089,0.2,0.4157,0.362766,0.343532,0.166289,0.156492,0.38143,0.534491
中文组,,,,,,,,,YC1029,【YC1029】蘫坆螝硴剘,BV1xeEf6fEUb,970,51,19,50,14,35,3,0.5089,0.2,0.4157,0.501199,0.612594,0.567645,0.553424,0.472274,0.639047
中文组,,,,,,,,,YC1032,【YC1032】ALIVE,BV1xeEf6fEUV,537,24,11,24,6,19,0,0.5089,0.2,0.4157,0.285518,0.422041,0.134897,0.216538,0.567275,0.587836
中文组,,,,,,,,,YC1033,【YC1033】罗刹死舞,BV14eEf6fEw5,692,35,10,31,7,14,0,0.5089,0.2,0.4157,0.501884,0.292143,0.237643,0.580939,0.278839,0.506355
中文组,,,,,,,,,YC1036,【YC1036】泡沫梦,BV14eEf6fE8q,488,17,4,18,8,12,0,0.5089,0.2,0.4157,0.276248,0,0,0,0.125189,0.597872
