group,predicted_rank,advance_cutoff,predicted_advances,confidence_tier,gap_to_cutoff,prediction_score,support_score,conversion_score,code,title,bvid,views,likes,coins,favorites,shares,replies,danmaku,partial_blend_like,partial_blend_coin,partial_blend_favorite,adjusted_raw_like,adjusted_raw_coin,adjusted_raw_favorite,adjusted_rate_like,adjusted_rate_coin,adjusted_rate_favorite
中文组,,,,,,,,,YC2002,【YC2002】愈美对康德,BV1Zm7t6REWv,646,38,18,29,15,11,0,0.5089,0.2,0.4157,0.778705,0.424621,0.22113,0.414355,0.45947,0.21743
中文组,,,,,,,,,YC2003,【YC2003】未晴,BV1Zm7t6REL4,807,50,29,39,15,17,2,0.5089,0.2,0.4157,0.884451,0.68923,0.365195,0.399737,0.702147,0.255182
中文组,,,,,,,,,YC2008,【YC2008】回见~,BV1f27t6xEgu,564,32,12,35,13,10,0,0.5089,0.2,0.4157,0.560942,0.214305,0.48955,0.183265,0.236021,0.69277
中文组,,,,,,,,,YC2009,【YC2009】夜无噩梦,BV1f27t6xEVu,554,26,12,28,7,10,0,0.5089,0.2,0.4157,0.414873,0.270687,0.385964,0.081864,0.289634,0.481996
中文组,,,,,,,,,YC2010,【YC2010】指尖碰撞,BV1f27t6xEVx,437,26,11,28,3,14,0,0.5089,0.2,0.4157,0.430675,0.211092,0.384745,0.202916,0.350205,0.708734
中文组,,,,,,,,,YC2011,【YC2011】弦乐声响,BV1E27t64Ein,619,34,19,30,5,18,0,0.5089,0.2,0.4157,0.61927,0.503645,0.314661,0.254389,0.556481,0.33372
中文组,,,,,,,,,YC2017,【YC2017】夜色未央,BV1oD7t6XE5h,1232,74,40,68,27,19,0,0.5089,0.2,0.4157,1,0.822503,0.698028,0.28576,0.590242,0.456946
中文组,,,,,,,,,YC2019,【YC2019】凉宫不懂我的忧郁,BV1dD7t6XErB,520,36,18,27,18,27,0,0.5089,0.2,0.4157,0.746178,0.438555,0.18175,0.54137,0.635649,0.290089
中文组,,,,,,,,,YC2022,【YC2022】路牌的自述,BV1oD7t6XEAr,354,36,23,21,4,11,0,0.5089,0.2,0.4157,0.81393,0.595656,0,1,1,0.122088
中文组,,,,,,,,,YC2026,【YC2026】青空,BV1ZS7t6WEMA,397,28,14,27,4,6,0,0.5089,0.2,0.4157,0.491563,0.34933,0.313526,0.36555,0.634391,0.685233
中文组,,,,,,,,,YC2030,【YC2030】这里有一个难缠的外星人你敢与她对视三秒吗,BV1oS7t6WE2q,659,41,14,50,12,18,1,0.5089,0.2,0.4157,0.666469,0.259268,0.704209,0.145993,0.203884,0.994003
中文组,,,,,,,,,YC2035,【YC2035】叹歌,BV1ZS7t6WEVi,1065,65,49,64,17,23,1,0.5089,0.2,0.4157,0.873209,1,0.712676,0.166999,1,0.533242
中文组,,,,,,,,,YC2040,【YC2040】莲胎惘世龙女梦身,BV1G77t6jEhL,764,36,24,33,8,20,0,0.5089,0.2,0.4157,0.600322,0.656442,0.37907,0.12217,0.607854,0.262539
中文组,,,,,,,,,YC2041,【YC2041】逡巡,BV1a77t6jEfQ,1463,56,29,51,16,21,1,0.5089,0.2,0.4157,0.898119,0.667929,0.564384,0.076451,0.273932,0.157542
中文组,,,,,,,,,YC2050,【YC2050】坠落向星光深处,BV1VL7t6mEg4,327,22,10,16,1,4,0,0.5089,0.2,0.4157,0.501743,0.166133,0,0.555675,0.516948,0.241849
中文组,,,,,,,,,YC2052,【YC2052】丧钟为我耳鸣,BV1eL7t6mEah,828,37,15,28,9,11,0,0.5089,0.2,0.4157,0.796516,0.303556,0.199223,0.262412,0.201704,0.080535
中文组,,,,,,,,,YC2059,【YC2059】霞,BV1eL7t6mEhg,1424,85,69,69,37,38,6,0.5089,0.2,0.4157,1,1,0.644436,0.267546,1,0.240664
中文组,,,,,,,,,YC2061,【YC2061】World Bubble（世界泡泡）,BV13n7t65ERi,488,24,10,27,3,7,0,0.5089,0.2,0.4157,0.369246,0.171271,0.391278,0.084384,0.240298,0.588498
中文组,,,,,,,,,YC2067,【YC2067】温室解离,BV13n7t65EGc,1077,67,52,70,26,25,0,0.5089,0.2,0.4157,0.856934,1,0.784806,0.120803,1,0.640641
中文组,,,,,,,,,YC2070,【YC2070】繁花收梢之时,BV1hn7t65Ezy,497,37,24,36,10,15,0,0.5089,0.2,0.4157,0.593376,0.652846,0.448367,0.328908,1,0.72526
中文组,,,,,,,,,YC2074,【YC2074】水母,BV13E7t61ECW,507,28,8,22,6,5,0,0.5089,0.2,0.4157,0.685293,0,0.110066,0.417153,0.085119,0.245615
中文组,,,,,,,,,YC2080,【YC2080】ra1n.drops,BV1GE7t61EMe,343,16,9,16,5,7,0,0.5089,0.2,0.4157,0.146734,0.202841,0.107745,0.096962,0.440968,0.370867
中文组,,,,,,,,,YC2084,【YC2084】冷牛奶,BV1GE7t61EPN,661,38,24,37,14,17,0,0.5089,0.2,0.4157,0.612907,0.645456,0.460462,0.188777,0.718089,0.487185
中文组,,,,,,,,,YC2086,【YC2086】论夏天吃冰淇淋之必要？！,BV1i37t6nELJ,1178,47,28,42,15,18,0,0.5089,0.2,0.4157,0.782022,0.690632,0.47031,0.083343,0.394478,0.152331
中文组,,,,,,,,,YC2087,【YC2087】我嘅青春，最後淨返杯冰檸茶,BV1L37t6nEkJ,354,16,6,14,5,7,0,0.5089,0.2,0.4157,0.276248,0,0,0.208123,0.156171,0.228279
中文组,,,,,,,,,YC2089,【YC2089】双人成厨,BV1L37t6nE7z,513,27,19,30,6,8,0,0.5089,0.2,0.4157,0.343312,0.583128,0.438657,0.031374,0.752231,0.589855
中文组,,,,,,,,,YC2090,【YC2090】金江左岸漫游杂记,BV1L37t6nE11,425,23,8,21,1,5,0,0.5089,0.2,0.4157,0.47225,0.019565,0.171004,0.293671,0.179251,0.400435
中文组,,,,,,,,,YC2093,【YC2093】听觉伪证,BV1L37t6nEyQ,1124,54,40,55,14,20,1,0.5089,0.2,0.4157,0.757285,0.918404,0.662709,0.046687,0.73059,0.389705
中文组,,,,,,,,,YC2096,【YC2096】海基线,BV1L37t6nEQY,578,33,20,36,15,10,0,0.5089,0.2,0.4157,0.490246,0.56265,0.507519,0.109109,0.658291,0.65567
中文组,,,,,,,,,YC2100,【YC2100】夜尚未明,BV1L37t6nEJY,527,46,27,45,3,14,0,0.5089,0.2,0.4157,0.731069,0.676712,0.548564,0.463121,1,0.933109
外文组,,,,,,,,,YF2001,【YF2001】Reborn（重生）,BV1LG7t6SEJV,318,17,4,8,2,6,0,0.4837,0.192,0.403,0.586224,0.189324,0,1,0.058918,0
外文组,,,,,,,,,YF2002,【YF2002】破邪の剣～デーモンブレイカー（破邪之剑～Demon Breaker）,BV1LG7t6SEcj,386,17,8,19,9,12,0,0.4837,0.192,0.403,0,0.724179,0.897331,0,0.374642,1
