group,predicted_rank,advance_cutoff,predicted_advances,confidence_tier,gap_to_cutoff,prediction_score,support_score,conversion_score,code,title,bvid,views,likes,coins,favorites,shares,replies,danmaku,partial_blend_like,partial_blend_coin,partial_blend_favorite,adjusted_raw_like,adjusted_raw_coin,adjusted_raw_favorite,adjusted_rate_like,adjusted_rate_coin,adjusted_rate_favorite
中文组,1,26,true,Strong advance,19.98,83.81,83.40,84.23,YC1007,【YC1007】售罄永恒【歌影回战S3】,BV1b8Ef6aEJ2,842,59,27,60,20,37,1,0.5089,0.2000,0.4157,0.684521,0.949432,0.744819,0.585690,0.901159,0.947440
中文组,2,26,true,Strong advance,18.27,82.11,84.75,79.46,YC1052,【YC1052】饮中山水色【歌影回战S3】,BV14eEf6fE42,1048,84,57,72,23,29,1,0.5089,0.2000,0.4157,0.748664,0.997702,0.670307,0.725059,1.000000,0.634922
中文组,3,26,true,Strong advance,16.65,80.48,78.82,82.14,YC1042,【YC1042】鸦【歌影回战S3】,BV14eEf6fEYA,535,40,22,36,8,27,0,0.5089,0.2000,0.4157,0.721057,0.944827,0.656741,0.737580,0.983909,0.737068
中文组,4,26,true,Strong advance,14.86,78.69,81.54,75.83,YC1014,【YC1014】欢迎来到斗技场【歌影回战S3】,BV1b8Ef6aEdN,696,48,25,35,8,21,1,0.5089,0.2000,0.4157,0.795873,0.956324,0.619418,0.843903,0.972415,0.456561
中文组,5,26,true,Strong advance,14.61,78.44,79.51,77.36,YC1029,【YC1029】蘫坆螝硴剘【歌影回战S3】,BV1xeEf6fEUb,654,43,16,44,11,32,3,0.5089,0.2000,0.4157,0.673643,0.813806,0.765737,0.558290,0.705765,0.936848
中文组,6,26,true,Strong advance,14.36,78.19,76.75,79.63,YC1063,【YC1063】致全民AI的美好新世界：寄生虫狂欢【歌影回战S3】,BV14eEf6fE7N,407,32,12,25,15,23,0,0.5089,0.2000,0.4157,0.868330,0.795410,0.581962,0.971162,0.820701,0.581962
中文组,7,26,true,Strong advance,13.85,77.68,77.67,77.69,YC1086,【YC1086】今天是创作者【歌影回战S3】,BV14YEf68E18,486,37,18,30,2,14,2,0.5089,0.2000,0.4157,0.821120,0.905748,0.620321,0.895320,0.951727,0.599270
中文组,8,26,true,Strong advance,11.88,75.71,77.58,73.85,YC1016,【YC1016】雨中的猫【歌影回战S3】,BV1b8Ef6aEri,659,46,12,47,15,18,0,0.5089,0.2000,0.4157,0.778529,0.703467,0.774391,0.738402,0.524160,0.972233
中文组,9,26,true,Strong advance,11.27,75.10,70.86,79.35,YC1079,【YC1079】11.2kms【歌影回战S3】,BV1mYEf68Epz,351,26,11,25,2,14,0,0.5089,0.2000,0.4157,0.717672,0.783910,0.655572,0.779761,0.848285,0.828755
中文组,10,26,true,Strong advance,11.21,75.04,69.08,81.01,YC1054,【YC1054】你消失的那天【歌影回战S3】,BV1xeEf6fE2F,332,26,12,25,1,16,0,0.5089,0.2000,0.4157,0.752976,0.816092,0.623028,0.814244,0.905752,0.839347
