half,group,code,title,bvid,aid,baseline_source,baseline_fetched_at,current_fetched_at,views,likes,coins,favorites,shares,replies,danmaku,baseline_views,baseline_likes,baseline_coins,baseline_favorites,baseline_shares,baseline_replies,baseline_danmaku,delta_views,delta_likes,delta_coins,delta_favorites,delta_shares,delta_replies,delta_danmaku,growth_views_pct,growth_likes_pct,growth_coins_pct,growth_favorites_pct,growth_shares_pct,growth_replies_pct,growth_danmaku_pct,baseline_like_rate,current_like_rate,delta_like_rate,baseline_coin_rate,current_coin_rate,delta_coin_rate,baseline_fav_rate,current_fav_rate,delta_fav_rate,baseline_reply_rate,current_reply_rate,delta_reply_rate,baseline_share_rate,current_share_rate,delta_share_rate,published_china_time,duration_seconds
上半场,中文组,YC1007,【YC1007】售罄永恒,BV1b8Ef6aEJ2,116727899753064,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,1434,73,40,78,25,40,1,842,59,27,60,20,37,1,592,14,13,18,5,3,0,70.31,23.73,48.15,30.0,25.0,8.11,0.0,0.070071,0.050907,-0.019164,0.032067,0.027894,-0.004173,0.071259,0.054393,-0.016866,0.043943,0.027894,-0.016049,0.023753,0.017434,-0.006319,2026-06-11 18:30:00 +08:00,344
上半场,中文组,YC1014,【YC1014】欢迎来到斗技场,BV1b8Ef6aEdN,116727899751074,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,1172,54,29,40,14,21,2,696,48,25,35,8,21,1,476,6,4,5,6,0,1,68.39,12.5,16.0,14.29,75.0,0.0,100.0,0.068966,0.046075,-0.022891,0.03592,0.024744,-0.011176,0.050287,0.03413,-0.016157,0.030172,0.017918,-0.012254,0.011494,0.011945,0.000451,2026-06-11 18:30:00 +08:00,214
上半场,中文组,YC1016,【YC1016】雨中的猫,BV1b8Ef6aEri,116727899752368,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,1005,53,17,54,21,20,0,659,46,12,47,15,18,0,346,7,5,7,6,2,0,52.5,15.22,41.67,14.89,40.0,11.11,0.0,0.069803,0.052736,-0.017067,0.018209,0.016915,-0.001294,0.07132,0.053731,-0.017589,0.027314,0.0199,-0.007414,0.022762,0.020896,-0.001866,2026-06-11 18:30:00 +08:00,204
上半场,中文组,YC1021,【YC1021】表达了作者写不完作业的后悔之情,BV1b8Ef6aEvh,116727899752145,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,954,40,8,20,20,37,0,626,32,4,16,12,32,0,328,8,4,4,8,5,0,52.4,25.0,100.0,25.0,66.67,15.62,0.0,0.051118,0.041929,-0.009189,0.00639,0.008386,0.001996,0.025559,0.020964,-0.004595,0.051118,0.038784,-0.012334,0.019169,0.020964,0.001795,2026-06-11 18:30:00 +08:00,151
上半场,中文组,YC1022,【YC1022】马戏,BV1b8Ef6aEzm,116727899752409,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,1454,55,31,56,22,22,3,1020,44,26,45,16,19,3,434,11,5,11,6,3,0,42.55,25.0,19.23,24.44,37.5,15.79,0.0,0.043137,0.037827,-0.00531,0.02549,0.02132,-0.00417,0.044118,0.038514,-0.005604,0.018627,0.015131,-0.003496,0.015686,0.015131,-0.000555,2026-06-11 18:30:00 +08:00,171
上半场,中文组,YC1026,【YC1026】那些关于爱的词句堆砌,BV1b8Ef6aE4G,116727899751667,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,648,27,10,26,2,11,1,457,23,8,19,1,11,1,191,4,2,7,1,0,0,41.79,17.39,25.0,36.84,100.0,0.0,0.0,0.050328,0.041667,-0.008661,0.017505,0.015432,-0.002073,0.041575,0.040123,-0.001452,0.02407,0.016975,-0.007095,0.002188,0.003086,0.000898,2026-06-11 18:30:00 +08:00,259
上半场,中文组,YC1029,【YC1029】蘫坆螝硴剘,BV1xeEf6fEUb,116727916530949,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,970,51,19,50,14,35,3,654,43,16,44,11,32,3,316,8,3,6,3,3,0,48.32,18.6,18.75,13.64,27.27,9.38,0.0,0.065749,0.052577,-0.013172,0.024465,0.019588,-0.004877,0.067278,0.051546,-0.015732,0.04893,0.036082,-0.012848,0.01682,0.014433,-0.002387,2026-06-11 18:30:00 +08:00,238
上半场,中文组,YC1032,【YC1032】ALIVE,BV1xeEf6fEUV,116727916530964,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,537,24,11,24,6,19,0,342,21,9,19,3,18,0,195,3,2,5,3,1,0,57.02,14.29,22.22,26.32,100.0,5.56,0.0,0.061404,0.044693,-0.016711,0.026316,0.020484,-0.005832,0.055556,0.044693,-0.010863,0.052632,0.035382,-0.01725,0.008772,0.011173,0.002401,2026-06-11 18:30:00 +08:00,196
上半场,中文组,YC1033,【YC1033】罗刹死舞,BV14eEf6fEw5,116727916529689,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,692,35,10,31,7,14,0,517,30,5,25,3,12,0,175,5,5,6,4,2,0,33.85,16.67,100.0,24.0,133.33,16.67,0.0,0.058027,0.050578,-0.007449,0.009671,0.014451,0.00478,0.048356,0.044798,-0.003558,0.023211,0.020231,-0.00298,0.005803,0.010116,0.004313,2026-06-11 18:30:00 +08:00,243
上半场,中文组,YC1036,【YC1036】泡沫梦,BV14eEf6fE8q,116727916529197,outputs/bilibili-geying-s3-predicted-rankings-partial-sanlian-5050.csv,2026-06-19 01:43:34 +08:00,2026-07-10 15:49:06 +08:00,488,17,4,18,8,12,0,308,15,4,15,3,11,0,180,2,0,3,5,1,0,58.44,13.33,0.0,20.0,166.67,9.09,0.0,0.048701,0.034836,-0.013865,0.012987,0.008197,-0.00479,0.048701,0.036885,-0.011816,0.035714,0.02459,-0.011124,0.00974,0.016393,0.006653,2026-06-11 18:30:00 +08:00,232
